assignment_id,student_id,submission_date,submitted_date,assignment_grades
AS001,S001,2025-06-17,2025-06-21,C1
AS002,S002,2025-06-17,2025-06-17,A1
AS003,S003,2025-06-17,2025-06-18,A2
AS004,S004,2025-06-17,2025-06-19,B1
AS005,S005,2025-06-17,2025-06-21,C1
AS006,S006,2025-06-17,2025-06-17,A1
AS007,S007,2025-06-17,2025-06-17,A1
AS008,S008,2025-06-17,2025-06-23,Fail
AS009,S009,2025-06-17,2025-06-23,Fail
AS010,S010,2025-06-17,2025-06-22,C2
AS011,S011,2025-06-17,2025-06-18,A2
AS012,S012,2025-06-17,2025-06-21,C1
AS013,S013,2025-06-17,2025-06-21,C1
AS014,S014,2025-06-17,2025-06-22,C2
AS015,S015,2025-06-17,2025-06-19,B1
AS016,S016,2025-06-17,2025-06-19,B1
AS017,S017,2025-06-17,2025-06-17,A1
AS018,S018,2025-06-17,2025-06-20,B2
AS019,S019,2025-06-17,2025-06-17,A1
AS020,S020,2025-06-17,2025-06-18,A2
AS021,S021,2025-06-17,2025-06-21,C1
AS022,S022,2025-06-17,2025-06-21,C1
AS023,S023,2025-06-17,2025-06-17,A1
AS024,S024,2025-06-17,2025-06-17,A1
AS025,S025,2025-06-17,2025-06-23,Fail
AS026,S026,2025-06-17,2025-06-20,B2
AS027,S027,2025-06-17,2025-06-22,C2
AS028,S028,2025-06-17,2025-06-23,Fail
AS029,S029,2025-06-17,2025-06-20,B2
AS030,S030,2025-06-17,2025-06-21,C1
AS031,S031,2025-06-17,2025-06-22,C2
AS032,S032,2025-06-17,2025-06-20,B2
AS033,S033,2025-06-17,2025-06-22,C2
AS034,S034,2025-06-17,2025-06-18,A2
AS035,S035,2025-06-17,2025-06-20,B2
AS036,S036,2025-06-17,2025-06-23,Fail
AS037,S037,2025-06-17,2025-06-19,B1
AS038,S038,2025-06-17,2025-06-18,A2
AS039,S039,2025-06-17,2025-06-19,B1
AS040,S040,2025-06-17,2025-06-23,Fail
AS041,S041,2025-06-17,2025-06-19,B1
AS042,S042,2025-06-17,2025-06-19,B1
AS043,S043,2025-06-17,2025-06-23,Fail
AS044,S044,2025-06-17,2025-06-23,Fail
AS045,S045,2025-06-17,2025-06-22,C2
AS046,S046,2025-06-17,2025-06-22,C2
AS047,S047,2025-06-17,2025-06-19,B1
AS048,S048,2025-06-17,2025-06-18,A2
AS049,S049,2025-06-17,2025-06-23,Fail
AS050,S050,2025-06-17,2025-06-22,C2
AS051,S051,2025-06-17,2025-06-20,B2
AS052,S052,2025-06-17,2025-06-23,Fail
AS053,S053,2025-06-17,2025-06-17,A1
AS054,S054,2025-06-17,2025-06-18,A2
AS055,S055,2025-06-17,2025-06-20,B2
AS056,S056,2025-06-17,2025-06-23,Fail
AS057,S057,2025-06-17,2025-06-19,B1
AS058,S058,2025-06-17,2025-06-18,A2
AS059,S059,2025-06-17,2025-06-19,B1
AS060,S060,2025-06-17,2025-06-20,B2
AS061,S061,2025-06-17,2025-06-20,B2
AS062,S062,2025-06-17,2025-06-22,C2
AS063,S063,2025-06-17,2025-06-19,B1
AS064,S064,2025-06-17,2025-06-20,B2
AS065,S065,2025-06-17,2025-06-20,B2
AS066,S066,2025-06-17,2025-06-19,B1
AS067,S067,2025-06-17,2025-06-17,A1
AS068,S068,2025-06-17,2025-06-18,A2
AS069,S069,2025-06-17,2025-06-21,C1
AS070,S070,2025-06-17,2025-06-17,A1
AS071,S071,2025-06-17,2025-06-23,Fail
AS072,S072,2025-06-17,2025-06-22,C2
AS073,S073,2025-06-17,2025-06-21,C1
AS074,S074,2025-06-17,2025-06-19,B1
AS075,S075,2025-06-17,2025-06-22,C2
AS076,S076,2025-06-17,2025-06-21,C1
AS077,S077,2025-06-17,2025-06-22,C2
AS078,S078,2025-06-17,2025-06-18,A2
AS079,S079,2025-06-17,2025-06-18,A2
AS080,S080,2025-06-17,2025-06-22,C2
AS081,S081,2025-06-17,2025-06-19,B1
AS082,S082,2025-06-17,2025-06-20,B2
AS083,S083,2025-06-17,2025-06-22,C2
AS084,S084,2025-06-17,2025-06-20,B2
AS085,S085,2025-06-17,2025-06-18,A2
AS086,S086,2025-06-17,2025-06-20,B2
AS087,S087,2025-06-17,2025-06-19,B1
AS088,S088,2025-06-17,2025-06-22,C2
AS089,S089,2025-06-17,2025-06-17,A1
AS090,S090,2025-06-17,2025-06-18,A2
AS091,S091,2025-06-17,2025-06-21,C1
AS092,S092,2025-06-17,2025-06-22,C2
AS093,S093,2025-06-17,2025-06-20,B2
AS094,S094,2025-06-17,2025-06-19,B1
AS095,S095,2025-06-17,2025-06-21,C1
AS096,S096,2025-06-17,2025-06-17,A1
AS097,S097,2025-06-17,2025-06-20,B2
AS098,S098,2025-06-17,2025-06-22,C2
AS099,S099,2025-06-17,2025-06-19,B1
AS100,S100,2025-06-17,2025-06-22,C2
